,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,2ndFlrSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,PoolArea,Fence,MiscFeature,SaleType,SaleCondition,GarageAge,SinceYearSold,HouseAge,TotalHouseSF,TotalPorchSF
367,80,RL,101.0,9150,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,SLvl,6,5,1962,Gable,Tar&Grv,Plywood,Plywood,BrkFace,305.0,TA,TA,CBlock,Gd,TA,Gd,GLQ,371,Unf,728,GasA,Gd,Y,SBrkr,0,0,1,1,0,3,1,TA,6,Typ,1,Gd,Basment,RFn,1,296,TA,TA,Y,0,NA,NA,WD,Normal,62.0,16,62,3961,174
1100,30,RL,60.0,8400,Pave,NA,Reg,Bnk,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1Story,2,5,1950,Gable,CompShg,Wd Sdng,Wd Sdng,NA,0.0,TA,TA,CBlock,TA,Fa,No,Rec,290,Unf,0,GasA,TA,N,FuseF,0,0,0,1,0,1,1,Fa,3,Typ,0,NA,Detchd,Unf,1,246,TA,TA,N,0,NA,NA,WD,Normal,94.0,15,104,1166,0
616,60,RL,70.01929530201342,7861,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,2003,Gable,CompShg,VinylSd,VinylSd,NA,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,457,Unf,326,GasA,Ex,Y,SBrkr,702,1,0,2,1,3,1,Gd,7,Typ,1,Gd,Attchd,Fin,2,393,TA,TA,Y,0,NA,NA,WD,Normal,22.0,18,22,3099,175
1118,80,RL,85.0,13825,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,SLvl,5,6,1987,Gable,CompShg,MetalSd,MetalSd,NA,0.0,TA,Gd,CBlock,TA,TA,No,Unf,0,Unf,533,GasA,TA,Y,SBrkr,580,0,1,1,0,3,1,TA,6,Min2,0,NA,BuiltIn,RFn,1,300,TA,TA,Y,0,NA,NA,WD,Normal,66.0,16,66,3155,314
221,60,RL,70.01929530201342,8068,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,2002,Gable,CompShg,VinylSd,VinylSd,NA,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,1010,GasA,Ex,Y,SBrkr,1257,0,0,2,1,4,1,Gd,8,Typ,1,TA,BuiltIn,RFn,2,390,TA,TA,Y,0,NA,NA,ConLI,Normal,22.0,15,22,4287,166
113,20,RL,70.01929530201342,21000,Pave,NA,Reg,Bnk,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,1Story,6,5,1953,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,184.0,TA,Gd,CBlock,Gd,TA,Mn,ALQ,35,Rec,905,GasA,TA,Y,SBrkr,0,1,0,2,0,3,1,Gd,7,Typ,2,Gd,Basment,Unf,2,450,TA,TA,Y,0,MnPrv,NA,COD,Abnorml,71.0,17,71,6327,478
546,50,RL,70.0,8737,Pave,NA,IR1,Bnk,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,7,1950,Gable,CompShg,BrkFace,Wd Sdng,NA,0.0,TA,TA,BrkTil,Gd,TA,No,Rec,300,Unf,765,GasA,Ex,Y,FuseA,720,0,0,1,1,3,1,TA,6,Typ,1,Gd,Detchd,Unf,2,440,TA,TA,Y,0,NA,NA,WD,Normal,74.0,17,101,3615,182
557,50,C (all),60.0,11040,Pave,NA,Reg,Low,AllPub,Inside,Mod,IDOTRR,Norm,Norm,1Fam,1.5Fin,4,6,1950,Gable,CompShg,MetalSd,MetalSd,NA,0.0,TA,TA,CBlock,TA,TA,No,Rec,637,Unf,0,GasA,Gd,Y,SBrkr,439,0,0,1,1,3,1,TA,7,Typ,0,NA,CarPort,Unf,1,570,TA,TA,Y,0,NA,NA,COD,Normal,30.0,18,104,2870,167
174,20,RL,47.0,12416,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,6,5,1986,Gable,CompShg,VinylSd,Plywood,Stone,132.0,TA,TA,CBlock,Gd,Fa,No,ALQ,1398,LwQ,0,GasA,TA,Y,SBrkr,0,1,0,2,0,3,1,TA,7,Min2,1,TA,Attchd,Fin,2,616,TA,TA,Y,0,NA,NA,WD,Normal,38.0,16,38,4908,192
1399,50,RL,51.0,6171,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,6,6,1990,Gable,CompShg,WdShing,Wd Shng,NA,0.0,TA,TA,BrkTil,TA,TA,No,BLQ,264,Unf,712,GasA,Ex,Y,SBrkr,448,0,0,2,1,3,1,Gd,7,Typ,1,Gd,Detchd,Unf,1,216,Fa,TA,Y,0,MnPrv,NA,WD,Normal,99.0,15,99,3744,163
325,45,RM,50.0,5000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,RRAe,Norm,1Fam,1.5Unf,5,6,1950,Gable,CompShg,MetalSd,MetalSd,NA,0.0,TA,TA,CBlock,TA,TA,Av,BLQ,116,Unf,604,GasA,Po,N,FuseF,0,0,0,1,0,2,1,TA,5,Typ,0,NA,Detchd,Unf,2,360,TA,TA,Y,0,NA,NA,WD,Normal,83.0,17,83,2326,244
1281,20,RL,50.0,8049,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Timber,Norm,Norm,1Fam,1Story,7,5,1990,Hip,CompShg,HdBoard,HdBoard,BrkFace,54.0,TA,TA,CBlock,Gd,TA,No,ALQ,1053,Unf,256,GasA,TA,Y,SBrkr,0,1,0,2,0,2,1,TA,6,Typ,1,TA,Attchd,Fin,2,484,Gd,Gd,Y,0,NA,NA,WD,Normal,34.0,18,34,3987,148
1400,50,RM,50.0,6000,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,7,1950,Gable,CompShg,WdShing,Wd Shng,NA,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,862,GasA,TA,Y,SBrkr,208,0,0,1,0,3,1,TA,5,Typ,1,Gd,BuiltIn,RFn,1,208,TA,TA,Y,0,NA,NA,WD,Normal,95.0,16,95,2970,112
930,20,RL,73.0,8925,Pave,NA,IR1,HLS,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,8,5,2007,Gable,CompShg,VinylSd,VinylSd,NA,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,16,Unf,1450,GasA,Ex,Y,SBrkr,0,0,0,2,0,3,1,Gd,7,Typ,0,NA,Attchd,Fin,3,610,TA,TA,Y,0,NA,NA,WD,Normal,17.0,15,17,4398,118
286,50,RL,77.0,9786,Pave,NA,IR1,Bnk,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1.5Fin,6,7,1981,Gable,CompShg,Wd Sdng,Wd Sdng,NA,0.0,TA,TA,CBlock,TA,TA,No,Rec,600,Unf,312,GasA,TA,Y,SBrkr,649,0,0,1,1,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,2,440,TA,TA,Y,0,GdPrv,NA,WD,Normal,62.0,18,62,3731,128
821,20,RM,60.0,6000,Pave,Pave,Reg,Bnk,AllPub,Inside,Mod,OldTown,Norm,Norm,2fmCon,1Story,4,4,1953,Gable,CompShg,MetalSd,MetalSd,NA,0.0,Fa,TA,CBlock,Fa,TA,No,Unf,0,Unf,936,GasA,TA,N,SBrkr,0,0,0,1,0,2,1,TA,4,Min2,0,NA,Detchd,Unf,2,576,TA,TA,Y,0,NA,NA,WD,Normal,50.0,15,71,2808,144
1199,20,RL,75.0,11235,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,4,5,1979,Gable,CompShg,HdBoard,HdBoard,BrkFace,51.0,TA,TA,CBlock,TA,TA,No,Rec,547,Unf,504,GasA,Gd,Y,SBrkr,0,0,0,1,1,3,1,TA,6,Typ,1,Po,Attchd,Unf,2,459,TA,TA,Y,0,NA,NA,WD,Normal,50.0,18,61,3815,82
1164,80,RL,70.01929530201342,16157,Pave,NA,IR1,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,SLvl,5,7,1978,Gable,CompShg,Plywood,Plywood,NA,0.0,TA,TA,PConc,Gd,TA,Gd,ALQ,680,Rec,289,GasA,Ex,Y,SBrkr,0,1,0,1,1,2,1,Gd,5,Typ,1,TA,Attchd,Unf,2,588,TA,TA,Y,0,NA,NA,WD,Normal,46.0,17,46,4224,348
31,20,RL,70.01929530201342,8544,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,2006,Gable,CompShg,HdBoard,HdBoard,NA,0.0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,1228,GasA,Gd,Y,SBrkr,0,0,0,1,1,3,1,Gd,6,Typ,0,NA,Attchd,Unf,1,271,TA,TA,Y,0,MnPrv,NA,WD,Normal,58.0,16,58,3684,65
623,160,FV,70.01929530201342,2117,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,6,5,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,513.0,Gd,TA,PConc,Gd,TA,No,GLQ,420,Unf,336,GasA,Ex,Y,SBrkr,756,0,0,2,1,2,1,Gd,4,Typ,1,TA,Detchd,Unf,2,440,TA,TA,Y,0,NA,NA,WD,Normal,24.0,17,24,3024,32
210,30,RL,67.0,5604,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,6,1950,Gable,CompShg,Stucco,Stucco,NA,0.0,TA,TA,CBlock,TA,TA,No,Rec,468,Unf,396,GasA,TA,N,FuseA,0,1,0,1,0,2,1,TA,5,Typ,0,NA,NA,NA,0,0,NA,NA,Y,0,NA,NA,WD,Normal,-1.0,16,99,2592,96
955,90,RH,82.0,7136,Pave,NA,IR1,HLS,AllPub,Inside,Gtl,Crawfor,Norm,Norm,Duplex,2Story,6,6,1950,Gable,CompShg,MetalSd,MetalSd,BrkFace,423.0,TA,TA,CBlock,Gd,TA,No,Rec,484,Unf,495,GasA,TA,N,FuseF,979,0,0,2,0,4,2,TA,8,Typ,0,NA,Attchd,Unf,2,492,TA,TA,Y,0,NA,NA,WD,Normal,78.0,17,78,3916,0
400,120,RL,38.0,14963,Pave,NA,IR2,Lvl,AllPub,Inside,Gtl,Veenker,Norm,Norm,TwnhsE,1Story,8,5,1996,Gable,CompShg,BrkFace,BrkFace,NA,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,786,Unf,474,GasA,Ex,Y,SBrkr,0,1,0,1,1,1,1,Ex,4,Typ,2,Gd,Attchd,Fin,2,500,TA,TA,Y,0,NA,NA,WD,Normal,28.0,16,28,3836,374
766,60,RL,80.0,10421,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,7,5,1988,Gable,CompShg,HdBoard,HdBoard,BrkFace,42.0,TA,TA,CBlock,Gd,TA,No,GLQ,394,Unf,586,GasA,TA,Y,SBrkr,734,0,0,2,1,3,1,TA,7,Typ,1,TA,Attchd,Unf,2,496,TA,TA,Y,0,MnPrv,Shed,WD,Normal,36.0,14,36,3674,450
376,85,RL,57.0,8846,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,SFoyer,5,5,1996,Gable,CompShg,VinylSd,VinylSd,NA,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,298,Unf,572,GasA,Ex,Y,SBrkr,0,0,0,1,0,2,1,TA,5,Typ,0,NA,Detchd,Unf,2,576,TA,TA,Y,0,NA,NA,WD,Normal,26.0,18,28,2698,0
334,60,RL,59.0,9042,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1998,Gable,CompShg,VinylSd,VinylSd,NA,0.0,TA,TA,PConc,Gd,TA,Gd,GLQ,828,Unf,115,GasA,Gd,Y,SBrkr,695,1,0,2,1,3,1,TA,7,Typ,2,TA,Attchd,Fin,2,472,TA,TA,Y,0,NA,NA,WD,Normal,26.0,16,26,3524,138
188,90,RL,64.0,7018,Pave,NA,Reg,Bnk,AllPub,Inside,Gtl,SawyerW,Feedr,Norm,Duplex,SFoyer,5,5,1979,Gable,CompShg,Plywood,Plywood,Stone,275.0,TA,TA,CBlock,Gd,TA,Av,GLQ,1086,Unf,0,GasA,TA,Y,SBrkr,0,2,0,0,2,2,2,TA,6,Typ,2,TA,Detchd,Unf,2,528,TA,TA,Y,0,NA,NA,WD,Alloca,45.0,15,45,3534,120
1105,60,RL,98.0,12256,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1995,Gable,CompShg,HdBoard,HdBoard,BrkFace,362.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1032,Unf,431,GasA,Ex,Y,SBrkr,1122,1,0,2,1,3,1,Gd,9,Typ,2,TA,Attchd,RFn,2,712,TA,TA,Y,0,NA,NA,WD,Normal,30.0,14,30,5585,218
1455,60,RL,62.0,7917,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,2000,Gable,CompShg,VinylSd,VinylSd,NA,0.0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,953,GasA,Ex,Y,SBrkr,694,0,0,2,1,3,1,TA,7,Typ,1,TA,Attchd,RFn,2,460,TA,TA,Y,0,NA,NA,WD,Normal,25.0,17,25,3553,40
415,20,RL,73.0,8899,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,5,2007,Gable,CompShg,VinylSd,VinylSd,NA,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,24,Unf,1316,GasA,Ex,Y,SBrkr,0,0,0,2,0,3,1,Gd,6,Typ,0,NA,Attchd,Fin,2,396,TA,TA,Y,0,NA,NA,New,Partial,17.0,17,17,4020,130
1447,60,RL,80.0,10000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,8,5,1996,Gable,CompShg,VinylSd,VinylSd,BrkFace,438.0,Gd,TA,PConc,Gd,TA,No,GLQ,1079,Unf,141,GasA,Ex,Y,SBrkr,870,1,0,2,1,3,1,Gd,8,Typ,1,TA,Attchd,RFn,2,556,TA,TA,Y,0,NA,NA,WD,Normal,29.0,17,29,4530,65
83,20,RL,80.0,8892,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1960,Gable,CompShg,MetalSd,MetalSd,BrkCmn,66.0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,1065,GasA,Gd,Y,SBrkr,0,0,0,1,1,3,1,TA,6,Typ,0,NA,Detchd,Unf,2,461,TA,TA,Y,0,NA,NA,COD,Normal,50.0,17,64,3195,74
48,190,RM,33.0,4456,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,4,5,2008,Gable,CompShg,MetalSd,MetalSd,NA,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,736,GasA,Gd,Y,SBrkr,716,0,0,2,0,2,3,TA,8,Typ,0,NA,NA,NA,0,0,NA,NA,N,0,NA,NA,New,Partial,-1.0,15,104,2924,102
155,50,RL,60.0,9600,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Artery,Norm,1Fam,1.5Fin,6,5,1950,Gable,CompShg,Wd Sdng,Wd Sdng,NA,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,572,Grav,Fa,N,FuseF,524,0,0,1,0,2,1,TA,5,Typ,0,NA,NA,NA,0,0,NA,NA,N,0,NA,NA,WD,Normal,-1.0,16,100,2240,136
360,85,RL,70.01929530201342,7540,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,SFoyer,6,6,1978,Gable,CompShg,VinylSd,VinylSd,NA,0.0,TA,TA,CBlock,Gd,TA,Av,GLQ,773,Unf,115,GasA,Ex,Y,SBrkr,0,1,0,1,0,2,1,TA,5,Typ,1,TA,Attchd,RFn,2,470,TA,TA,Y,0,MnPrv,NA,WD,Normal,46.0,17,46,2712,192
1111,60,RL,80.0,10480,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,7,6,1976,Hip,CompShg,Plywood,Plywood,BrkFace,660.0,TA,TA,CBlock,TA,TA,No,ALQ,403,Unf,400,GasA,TA,Y,SBrkr,866,0,0,2,1,4,1,TA,8,Typ,1,Gd,Attchd,RFn,2,483,TA,TA,Y,0,NA,NA,WD,Normal,48.0,16,48,3865,69
1454,20,FV,62.0,7500,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,2005,Gable,CompShg,VinylSd,VinylSd,NA,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,410,Unf,811,GasA,Ex,Y,SBrkr,0,1,0,2,0,2,1,Gd,6,Typ,0,NA,Attchd,RFn,2,400,TA,TA,Y,0,NA,NA,WD,Normal,20.0,15,20,3663,113
1032,60,RL,70.01929530201342,14541,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,7,1993,Gable,CompShg,MetalSd,MetalSd,NA,0.0,Gd,Gd,PConc,Gd,Gd,No,GLQ,1012,Unf,326,GasA,Ex,Y,SBrkr,1168,1,0,2,1,5,1,Gd,10,Typ,1,TA,Attchd,RFn,3,796,TA,TA,Y,0,NA,NA,WD,Abnorml,31.0,18,31,5210,264
1359,20,RL,129.0,16737,Pave,NA,Reg,Lvl,AllPub,FR3,Gtl,NridgHt,Norm,Norm,1Fam,1Story,9,5,2005,Hip,CompShg,VinylSd,VinylSd,BrkFace,66.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1447,Unf,533,GasA,Ex,Y,SBrkr,0,1,0,2,0,3,1,Ex,8,Typ,1,Gd,Attchd,Fin,3,770,TA,TA,Y,0,NA,NA,WD,Normal,20.0,18,20,5940,239
1195,60,RL,51.0,8029,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,2005,Gable,CompShg,VinylSd,VinylSd,NA,0.0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,728,GasA,Ex,Y,SBrkr,728,0,0,2,1,3,1,Gd,8,Typ,0,NA,Attchd,Fin,2,400,TA,TA,Y,0,NA,NA,WD,Normal,19.0,16,19,2912,124
1429,20,RL,70.01929530201342,12546,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,7,1981,Gable,CompShg,MetalSd,MetalSd,BrkFace,310.0,Gd,Gd,CBlock,Gd,TA,No,BLQ,678,Unf,762,GasA,Ex,Y,SBrkr,0,0,0,2,0,3,1,Gd,7,Typ,1,TA,Attchd,Fin,2,467,TA,TA,Y,0,NA,NA,WD,Normal,43.0,17,43,4320,99
179,30,RM,60.0,8520,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,6,2006,Gable,CompShg,Wd Sdng,Wd Sdng,NA,0.0,Gd,TA,CBlock,TA,TA,No,Unf,0,Unf,968,GasA,TA,Y,SBrkr,0,0,0,1,0,2,1,TA,5,Typ,0,NA,Detchd,Unf,2,480,Fa,TA,N,0,NA,NA,WD,Normal,89.0,17,101,2904,184
356,20,RL,70.01929530201342,9248,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,6,1992,Gable,CompShg,HdBoard,HdBoard,BrkFace,106.0,TA,TA,PConc,Gd,TA,No,GLQ,560,Unf,598,GasA,Gd,Y,SBrkr,0,1,0,2,0,3,1,Gd,6,Typ,0,NA,Attchd,RFn,2,400,TA,TA,Y,0,NA,NA,WD,Normal,32.0,15,32,3492,146
1212,30,RL,50.0,9340,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,4,6,1950,Hip,CompShg,MetalSd,MetalSd,NA,0.0,TA,TA,CBlock,TA,TA,No,Rec,344,Unf,328,GasA,TA,Y,SBrkr,0,1,0,1,0,2,1,TA,4,Typ,0,NA,Attchd,Unf,1,234,TA,TA,N,0,NA,NA,WD,Normal,83.0,15,83,2016,113
1086,160,RM,70.01929530201342,1974,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,2Story,4,5,1973,Gable,CompShg,CemntBd,CmentBd,NA,0.0,TA,TA,CBlock,TA,TA,No,BLQ,334,Unf,212,GasA,TA,Y,SBrkr,546,0,0,1,1,3,1,TA,6,Typ,0,NA,Attchd,RFn,1,286,TA,TA,Y,0,NA,NA,WD,Normal,51.0,14,51,2184,216
